영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
Air Saint Pierre,에어 생피에르,PJ,SPM,Active,Full Service Carrier,Saint Pierre and Miquelon,북미캐나다
Air Samara,에어 사마라,n/a,n/a,Ceased Operations,Regional/Commuter,Russian Federation,유럽
Air Samarkand,에어 사마르칸트,C7,UZS,Active,Full Service Carrier,Uzbekistan,아시아태평양
Air Scandic,에어 스칸딕,n/a,n/a,Ceased Operations,Charter,Jersey,유럽
Air Scandic Aland Islands,에어 스칸딕 올랜드제도,n/a,n/a,Ceased Operations,Virtual Carrier,Finland,유럽
Air Senegal,에어 세네갈,HC,SZN,Active,Full Service Carrier,Senegal,중동아프리카
Air Seoul,에어 서울,RS,ASV,Active,Low Cost Carrier,South Korea,아시아태평양
Air Serbia,에어 세르비아,JU,ASL,Active,Full Service Carrier,Serbia,유럽
Air Seychelles,에어 세이쉘,HM,SEY,Active,Full Service Carrier,Seychelles,중동아프리카
Air SGS,에어 SGS,n/a,n/a,Failed startup,Charter,India,아시아태평양
Air Shuttle,에어 셔틀,n/a,n/a,Ceased Operations,Charter,Ghana,중동아프리카
Air Sial,에어 시알,PF,SIF,Active,Full Service Carrier,Pakistan,아시아태평양
Air Siem Reap,에어 씨엠립,n/a,n/a,Failed startup,Full Service Carrier,Cambodia,아시아태평양
Air Sinai,에어 시나이,4D,ASD,Ceased Operations,Full Service Carrier,Egypt,중동아프리카
Air South Charter,에어 사우스 카고,n/a,n/a,Active,Charter,Australia,아시아태평양
Air Southwest,에어 사우스웨스트,SZ,WOW,Ceased Operations,Regional/Commuter,United Kingdom,유럽
Air Sphinx,에어 스핑크스,n/a,n/a,Startup,Low Cost Carrier,Egypt,중동아프리카
Air Sud,에어 수드,n/a,n/a,Ceased Operations,Virtual Carrier,Italy,유럽
Air Sunshine,에어 선샤인,n/a,RSI,Active,Regional/Commuter,United States of America,북미캐나다
Air Tahiti,에어 타히티 ,VT,VTA,Active,Regional/Commuter,French Polynesia,아시아태평양
Air Tahiti Nui,에어 타히티 누이,TN,THT,Active,Full Service Carrier,French Polynesia,아시아태평양
Air Tanzania,에어 탄자니아,TC,ATC,Active,Full Service Carrier,Tanzania,중동아프리카
Air Taxi India,에어 택시 인디아,n/a,FAT,Active,Regional/Commuter,India,아시아태평양
Air Tetiaroa,에에 테티아로아,n/a,n/a,Active,Regional/Commuter,French Polynesia,아시아태평양
Air Thanlwin,에어 양곤,YH,AYG,Active,Regional/Commuter,Myanmar,아시아태평양
Air Timor,에어 티모르,6C,n/a,Active,Full Service Carrier,Timor-Leste,아시아태평양
Air Tindi,에어 틴디,8T,TIN,Active,Regional/Commuter,Canada,북미캐나다
Air Transat,에어 트란삿,TS,TSC,Active,Full Service Carrier,Canada,북미캐나다
Air Transport Europe,에어 트랜스포트 유럽,n/a,EAT,Active,Charter,Slovakia,유럽
Air Transport International,에어 트랜스포트 인터내셔널,8C,ATN,Active,Charter,United States of America,북미캐나다
Air Travel,에어 트래블,A6,OTC,Active,Full Service Carrier,China,아시아태평양
Air Tropiques,에어 트래픽스,n/a,n/a,Ceased Operations,Charter,Democratic Republic of the Congo,중동아프리카
Air Tuvalu,에어 투발루,n/a,n/a,Startup,Full Service Carrier,Tuvalu,아시아태평양
Air Uganda,에어 우간다,U7,UGB,Ceased Operations,Full Service Carrier,Uganda,중동아프리카
Air Urga,에어 우르가,3N,URG,Active,Regional/Commuter,Ukraine,유럽
Air Vallee,에어 밸리,DO,RVL,Ceased Operations,Full Service Carrier,Italy,유럽
Air Vanuatu,에어 바누아투,NF,AVN,Active,Full Service Carrier,Vanuatu,아시아태평양
Air VIA,에어 비아,VL,VIM,Ceased Operations,Charter,Bulgaria,유럽
Air West Cargo,에어 웨스트 카고,n/a,AWZ,Active,Cargo,Sudan,중동아프리카
Air West Georgia,에어 웨스트조지아,n/a,n/a,Ceased Operations,Charter,Georgia,유럽
Air Whitsunday Seaplanes,에어 위트선데이,n/a,n/a,Active,Charter,Australia,아시아태평양
Air Wisconsin,에어 위스콘신,ZW,AWI,Active,Regional/Commuter,United States of America,북미캐나다
Air Ylang,에어 일랑 ,n/a,n/a,Ceased Operations,Full Service Carrier,Comoros,중동아프리카
Air Zimbabwe,에어 짐바브웨,UM,AZW,Active,Full Service Carrier,Zimbabwe,중동아프리카
Air100,에어 100,n/a,n/a,Ceased Operations,Virtual Carrier,Finland,유럽
Air2there,에어 투데어,n/a,n/a,Ceased Operations,Charter,New Zealand,아시아태평양
AirAct,에어 엑트,9T,RUN,Active,Cargo,Turkiye,유럽
AirAsia,에어아시아,AK,AXM,Active,Low Cost Carrier,Malaysia,아시아태평양
AirAsia Cambodia,에어아시아 캄보디아,n/a,n/a,Startup,Low Cost Carrier,Cambodia,아시아태평양
AirAsia China,에어아시아 중국,n/a,n/a,Failed startup,Low Cost Carrier,China,아시아태평양
AirAsia India,에어아시아 인디아,I5,IAD,Ceased Operations,Low Cost Carrier,India,아시아태평양
AirAsia Japan,에어아시아 일본,DJ,WAJ,Ceased Operations,Low Cost Carrier,Japan,아시아태평양
AirAsia Sri Lanka,에어아시아 스리랑카,n/a,n/a,Failed startup,Low Cost Carrier,Sri Lanka,아시아태평양
AirAsia X,에어아시아 엑스,D7,XAX,Active,Low Cost Carrier,Malaysia,아시아태평양
AirAsia Zest,에어아시아 제스트,Z2,EZD,Ceased Operations,Low Cost Carrier,Philippines,아시아태평양
Airbahn,에어반,n/a,ARB,Startup,Full Service Carrier,United States of America,북미캐나다
airBaltic,에어발틱,BT,BTI,Active,Low Cost Carrier,Latvia,유럽
airblue,에어블루,PA,ABQ,Active,Low Cost Carrier,Pakistan,아시아태평양
AirBridgeCargo Airlines,에어브리지카고 항공,RU,ABW,Active,Cargo,Russian Federation,유럽
Airbus Beluga Transport,에어버스 벨루가 운송,n/a,n/a,Active,Cargo,France,유럽
Airbus Transport International,에어버스 국제운송,4Y,BGA,Active,Cargo,France,유럽
Aircalin,에어칼린,SB,ACI,Active,Full Service Carrier,New Caledonia,아시아태평양
Aircompany ATMA,에어컴퍼니 ATMA,IM,AMA,Ceased Operations,Charter,Kazakhstan,아시아태평양
Aircompany Continent,에어컴퍼니 컨티넌트,LK,CNE,Ceased Operations,Full Service Carrier,Russian Federation,유럽
Aircompany Meridian,에어컴퍼니 메리디안,n/a,MEM,Active,Cargo,Ukraine,유럽
AirDialog,에어다이알로그,n/a,HPN,Active,Cargo,United States of America,북미캐나다
Airest,에어레스트,n/a,AEG,Active,Cargo,Estonia,유럽
AirExplore,에어익스플로어,ED,AXE,Active,Charter,Slovakia,유럽
AIRFAST Indonesia,에어패스트 인도네시아,n/a,AFE,Active,Charter,Indonesia,아시아태평양
AirGotland,에어고틀랜드,n/a,n/a,Active,Virtual Carrier,Sweden,유럽
Airhub Airlines,에어허버항공,RE,GJM,Active,Charter,Malta,유럽
Airinter 1,에어인터 원,n/a,n/a,Active,Charter,Chad,중동아프리카
AirJapan,에어재팬,NQ,AJX,Active,Low Cost Carrier,Japan,아시아태평양
AirKenya,에어케냐,P2,XAK,Active,Regional/Commuter,Kenya,중동아프리카
Airlift Alaska,에어리프트 알래스카,K2,n/a,Active,Charter,United States of America,북미캐나다
Airlift International of Ghana,에어리프트 가나 국제항공,n/a,ALE,Ceased Operations,Charter,Ghana,중동아프리카
Airlift Service,에어리프트 서비스,n/a,LFM,Ceased Operations,Charter,North Macedonia FYROM,유럽
Airlines of Tasmania Par Avion,태즈메이니아 항공,n/a,ATM,Active,Regional/Commuter,Australia,아시아태평양
Airlink South Africa,에어링크 남아공,4Z,LNK,Active,Regional/Commuter,South Africa,중동아프리카
Airmax Cargo,에어맥스 카고,X8,n/a,Active,Cargo,Peru,중남미
Airnavia,에어나비아,n/a,n/a,Ceased Operations,Virtual Carrier,Denmark,유럽
AirNet II,에어넷 II,n/a,USC,Active,Cargo,United States of America,북미캐나다
Airnorth,에어노스,TL,ANO,Active,Regional/Commuter,Australia,아시아태평양
AirOne India,에어원 인디아,n/a,n/a,Active,Charter,India,아시아태평양
AirQuarius Aviation,에어쿠에리우스 항공,n/a,AQU,Ceased Operations,Charter,South Africa,중동아프리카
Airseven,에어세븐 항공,n/a,n/a,Active,Virtual Carrier,Denmark,유럽
Airshare,에어쉐어 항공,n/a,XSR,Active,Charter,United States of America,북미캐나다
Airspeed Aviation,에어스피드 항공,n/a,n/a,Active,Charter,Australia,아시아태평양
AirSWIFT,에어스위프트,T6,ATX,Active,Charter,Philippines,아시아태평양
air-taxi europe,에어택시 유럽,n/a,TWG,Active,Full Service Carrier,Germany,유럽
AirTran,에어트란 항공,FL,TRS,Ceased Operations,Low Cost Carrier,United States of America,북미캐나다
Airwaves Airlink,에어웨이브 에어링크,n/a,WLA,Ceased Operations,Charter,Zambia,중동아프리카
Airwing,에어윙,n/a,NWG,Ceased Operations,Regional/Commuter,Norway,유럽
Airwork,에어워크,n/a,AWK,Active,Cargo,New Zealand,아시아태평양
AirX Charter,에어엑스 차터,n/a,AXY,Active,Charter,Malta,유럽
AIS Airlines,AIS 항공,n/a,PNX,Active,Charter,Netherlands,유럽
AK Bars Aero,AK 바스 에어로,2B,BGM,Ceased Operations,Regional/Commuter,Russian Federation,유럽
Akasa Air,아카사 항공,QP,AKJ,Active,Low Cost Carrier,India,아시아태평양
Aklak Air,악락 항공,6L,n/a,Active,Regional/Commuter,Canada,북미캐나다
Al Libo Air Cargo,리보 에어 카고,n/a,n/a,Ceased Operations,Cargo,Libya,중동아프리카
Al Maha Airways,알마하 항공,n/a,n/a,Failed startup,Low Cost Carrier,Saudi Arabia,중동아프리카
ALADA,알라다 항공,n/a,RAD,Ceased Operations,Charter,Angola,중동아프리카
Alas del Sur,알라스 델 수르,n/a,ALS,Failed startup,Low Cost Carrier,Argentina,중남미
Alas La Rioja,알라스 라 리오하,n/a,n/a,Ceased Operations,Regional/Commuter,Argentina,중남미
Alas Uruguay,알라스 우르과이,YZ,ALY,Ceased Operations,Full Service Carrier,Uruguay,중남미
Alaska Air Transit,알래스카 항공 교통,JN,n/a,Active,Charter,United States of America,북미캐나다
Alaska Airlines,알래스카 항공,AS,ASA,Active,Full Service Carrier,United States of America,북미캐나다
Alaska Central Express,알래스카 센트랄 익스프레스,KO,AER,Active,Cargo,United States of America,북미캐나다
Alaska Seaplane,알래스카 시플레인서비스,J5,n/a,Active,Regional/Commuter,United States of America,북미캐나다
Albanian Airlines,알바니안 항공,LV,LBC,Ceased Operations,Full Service Carrier,Albania,유럽
Albanian Airways,알바니아 항공,n/a,LBN,Failed startup,Full Service Carrier,Albania,유럽
AlbaStar,알바스타,AP,LAV,Active,Charter,Spain,유럽
Albatros Airlines,알바트로스 항공,G0,GAL,Active,Charter,Venezuela,중남미
Albawings,알바윙스,2B,AWT,Active,Full Service Carrier,Albania,유럽
Aleutian Airways,알류샨 항공,VC,SRY,Active,Regional/Commuter,United States of America,북미캐나다
Alexandria Airlines,알렉산드리아 항공,DQ,KHH,Active,Charter,Egypt,중동아프리카
Alfa Airlines,알파 항공,n/a,AAJ,Active,Charter,Sudan,중동아프리카
Aliansa,알리안사,n/a,n/a,Active,Cargo,Colombia,중남미
AliBlue Malta,알리블루 몰타 항공,n/a,n/a,Active,Virtual Carrier,Malta,유럽
Alidaunia,알리다우니아,n/a,LID,Active,Charter,Italy,유럽
Alieurope,알리유럽 항공,n/a,n/a,Failed startup,Charter,Malta,유럽
Alii Palau Airlines,알리 팔라우 항공,n/a,n/a,Active,Charter,Palau,아시아태평양
AlisCargo Airlines,알리스 카고 항공,CP,LSI,Grounded,Cargo,Italy,유럽
Alitalia,알 이탈리아 항공,AZ,AZA,Ceased Operations,Full Service Carrier,Italy,유럽
Alitalia Cityliner,알 이탈리아 시티라이너,CT,CYL,Ceased Operations,Regional/Commuter,Italy,유럽
Alkan Air,알칸 에어,n/a,AKN,Active,Charter,Canada,북미캐나다
All Nippon Airways,전일본공수,NH,ANA,Active,Full Service Carrier,Japan,아시아태평양
Allebia for Air Cargo,알레비아 항공화물,n/a,n/a,Ceased Operations,Cargo,Libya,중동아프리카
Allegiance Air,알레지안스 에어,n/a,ANJ,Active,Charter,South Africa,중동아프리카
Allegiance Airways Gabon,얼리전스 항공 가봉,n/a,LGE,Ceased Operations,Charter,Gabon,중동아프리카
Allegiant Air,엘리지언트 에어,G4,AAY,Active,Low Cost Carrier,United States of America,북미캐나다
Alliance Air,얼라이언스 에어,9I,LLR,Active,Regional/Commuter,India,아시아태평양
Alliance Airlines,알리앙스 항공,QQ,UTY,Active,Charter,Australia,아시아태평양
Allied Air,얼라이드 에어,4W,AJK,Active,Cargo,Nigeria,중동아프리카
Almajara Aviation,암라자라 항공,n/a,MJA,Ceased Operations,Cargo,Sudan,중동아프리카
AlMasria Universal Airlines,알마스리아 유니버셜 항공,UJ,LMU,Active,Full Service Carrier,Egypt,중동아프리카
Al-Naser Airlines,알 나제르 항공,n/a,MHK,Active,Charter,Iraq,중동아프리카
Aloha Air Cargo,알로하 항공 화물,KH,AAH,Active,Cargo,United States of America,북미캐나다
Alpha Express Airlines,알파 익스프레스 화물,n/a,n/a,Ceased Operations,Charter,Latvia,유럽
Alpha Star Aviation,알파 스타 항공,n/a,n/a,Active,Charter,Saudi Arabia,중동아프리카
Alpine Aviation Alpine Air Express,알파인 에어 익스프레스,5A,AIP,Active,Cargo,United States of America,북미캐나다
Alrosa Airlines,알로사 항공,6R,DRU,Active,Regional/Commuter,Russian Federation,유럽
Alrosa Avia,알로사 아비아,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
ALS Limited,ALS 리미티드,K4,ALW,Active,Charter,Kenya,중동아프리카
Aluu Airlines,알루 항공,n/a,n/a,Failed startup,Full Service Carrier,Greenland,유럽
Alvir Airways,알비르 항공,n/a,n/a,Startup,Full Service Carrier,Pakistan,아시아태평양
Alwafeer Air,알웨이퍼 에어,n/a,WFR,Ceased Operations,Charter,Saudi Arabia,중동아프리카
Amakusa Airlines,아마쿠사 항공,MZ,AHX,Active,Regional/Commuter,Japan,아시아태평양
Amal,오몰 항공,n/a,n/a,Active,Full Service Carrier,Malaysia,아시아태평양
Amana Airlines,아마나항공,n/a,n/a,Active,Regional/Commuter,Niger,중동아프리카
Amapola Flyg,아마폴라플라이그,HP,APF,Active,Regional/Commuter,Sweden,유럽
Amaszonas,아마조냐스,Z8,AZN,Active,Regional/Commuter,Bolivia,중남미
Amaszonas del Paraguay,아마조냐스 파라과이,ZP,AZP,Ceased Operations,Full Service Carrier,Paraguay,중남미
Amaszonas Uruguay,아마조냐스 우루과이,Z7,AUZ,Grounded,Regional/Commuter,Uruguay,중남미
Amazon Air,아마존 에어,n/a,n/a,Active,Cargo,United States of America,북미캐나다
Amazon Prime Air,아마존 프라임에어,n/a,n/a,Active,Virtual Carrier,United States of America,북미캐나다
AMC Airlines,AMC 항공,YJ,AMV,Active,Charter,Egypt,중동아프리카
Amelia,아멜리아항공,8R,AIA,Active,Charter,France,유럽
Amelia International,에어로4M,NL,AEH,Active,Charter,Slovenia,유럽
Amerer Air,아메레르 에어,n/a,n/a,Ceased Operations,Cargo,Austria,유럽
American Airlines,아메리칸 항공,AA,AAL,Active,Full Service Carrier,United States of America,북미캐나다
American Jet,아메리칸 제트,n/a,AJB,Active,Charter,Argentina,중남미
American West Jets,아메리칸 웨스트 제트,n/a,n/a,Failed startup,Full Service Carrier,United States of America,북미캐나다
Ameriflight,아메리라이트,A8,AMF,Active,Cargo,United States of America,북미캐나다
Amerijet International,아메리제트 인터내셔널,M6,AJT,Active,Cargo,United States of America,북미캐나다
Amsterdam Airlines,암스테르담 항공,n/a,n/a,Ceased Operations,Charter,Netherlands,유럽
ANA Wings,아나 윙즈,EH,AKX,Active,Regional/Commuter,Japan,아시아태평양
AnadoluJet,아나덜루젯,n/a,n/a,Active,Low Cost Carrier,Turkiye,유럽
Anda Air,안다에어,n/a,SSV,Active,Charter,Ukraine,유럽
Andes Lineas Aereas,안데스리네아스애리아,O4,ANS,Active,Low Cost Carrier,Argentina,중남미
Andorra Airlines,안도라 항공,n/a,n/a,Active,Full Service Carrier,Spain,유럽
Angara Airlines,앙공라 항공,2G,AGU,Active,Charter,Russian Federation,유럽
Angola Air Charter,앙공라 에어 차터,n/a,AGO,Active,Charter,Angola,중동아프리카
Anguilla Air Services,앙구일라 에어서비스,Q3,AXL,Active,Regional/Commuter,Anguilla,중남미
Animawings,애니마윙스,A2,AWG,Active,Charter,Romania,유럽
Anka Aviation Cargo,앙카 항공 화물,n/a,NKA,Active,Cargo,Egypt,중동아프리카
Antair,안테어,n/a,TIR,Active,Charter,Mexico,중남미
Antigua Airways,앤티가 항공,n/a,n/a,Active,Charter,Antigua and Barbuda,중남미
Antonov Airlines,안토노프 항공,n/a,ADB,Active,Charter,Ukraine,유럽
Antrak Air,안트랙 에어,O4,ABV,Ceased Operations,Regional/Commuter,Ghana,중동아프리카
APEX Airlines,아펙스 항공,n/a,n/a,Ceased Operations,Regional/Commuter,Myanmar,아시아태평양
APG Airlines,APG 항공,GP,RIV,Active,Charter,France,유럽
Appalachian Air,애팔래치아 에어,n/a,n/a,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Apsara International Air,압사라 국제항공,IP,AQQ,Ceased Operations,Full Service Carrier,Cambodia,아시아태평양
Aquiline Austria,아쿠일라 오스트리아,n/a,n/a,Active,Cargo,Austria,유럽
Arab Wings,아랍윙스,n/a,AWS,Active,Charter,Jordan,중동아프리카
Arajet,아라젯,DM,DWI,Active,Low Cost Carrier,Dominican Republic,중남미
Arctic Airlink,악틱 에어링크,n/a,n/a,Ceased Operations,Virtual Carrier,Finland,유럽
Arctic Airways,악틱 항공,n/a,n/a,Startup,Full Service Carrier,Denmark,유럽
Aria Air,아리아 에어,n/a,IRX,Active,Charter,Iran,중동아프리카
Ariana Afghan Airlines,아리아나 아프간 항공,FG,AFG,Active,Full Service Carrier,Afghanistan,중동아프리카
Ariella Airlines,아리엘라 항공,n/a,RIE,Failed startup,Charter,Burkina Faso,중동아프리카
Arik Air,아리크 항공,W3,ARA,Active,Full Service Carrier,Nigeria,중동아프리카
ARjet Airlines,에알제트 항공,n/a,n/a,Active,Charter,Argentina,중남미
Arkia Israeli Airlines,앨키나 이스라엘 항공,IZ,AIZ,Active,Full Service Carrier,Israel,중동아프리카
Armavia,아르마비아,U8,RNV,Ceased Operations,Full Service Carrier,Armenia,유럽
Armenia Airlines,아르메니아 항공 ,JI,AAG,Ceased Operations,Full Service Carrier,Armenia,유럽
Armenia Airways,아르메니아 에어웨이,6A,AMW,Active,Full Service Carrier,Armenia,유럽
Armenian Airlines LLC,아르메니안 항공,JI,AAG,Active,Full Service Carrier,Armenia,유럽
